Data as of;Week;Region;New confirmed human infections;Total number of confirmed human infections;New confirmed human deaths;Total number of confirmed human deaths;New outbreaks in equids;Total number of outbreaks in equids;New deaths in equids;Total number of deaths in equids;New outbreaks in birds;Total number of outbreaks in birds;maxtempC;mintempC;humidity;precipMM
31/10/12;2012-W44;Basilicata;1;1;NA;NA;0;NA;NA;NA;NA;NA;12;6;89;20.4
07/11/12;2012-W45;Basilicata;0;1;NA;NA;0;NA;NA;NA;NA;NA;13;6;84;11.1
14/11/12;2012-W46;Basilicata;0;1;NA;NA;0;NA;NA;NA;NA;NA;15;10;87;0.2
21/11/12;2012-W47;Basilicata;0;1;NA;NA;0;NA;NA;NA;NA;NA;13;11;96;30.3
05/12/12;2012-W49;Basilicata;0;1;NA;NA;0;NA;NA;NA;NA;NA;9;3;78;3.1
12/12/12;2012-W50;Basilicata;0;1;NA;NA;0;NA;NA;NA;NA;NA;5;-1;81;0.0
27/09/12;2012-W39;Friuli-Venezia Giulia;2;2;NA;NA;0;NA;NA;NA;NA;NA;23;18;85;42.5
04/10/12;2012-W40;Friuli-Venezia Giulia;0;2;NA;NA;0;NA;NA;NA;NA;NA;21;15;83;1.5
10/10/12;2012-W41;Friuli-Venezia Giulia;0;2;NA;NA;0;NA;NA;NA;NA;NA;17;13;85;4.3
17/10/12;2012-W42;Friuli-Venezia Giulia;0;2;NA;NA;0;NA;NA;NA;NA;NA;18;12;82;0.0
24/10/12;2012-W43;Friuli-Venezia Giulia;0;2;NA;NA;0;NA;NA;NA;NA;NA;20;10;70;0.0
31/10/12;2012-W44;Friuli-Venezia Giulia;2;4;NA;NA;0;NA;NA;NA;NA;NA;14;7;80;3.9
07/11/12;2012-W45;Friuli-Venezia Giulia;0;4;NA;NA;0;NA;NA;NA;NA;NA;14;6;67;0.0
14/11/12;2012-W46;Friuli-Venezia Giulia;0;4;NA;NA;0;NA;NA;NA;NA;NA;14;7;78;0.0
21/11/12;2012-W47;Friuli-Venezia Giulia;0;4;NA;NA;0;NA;NA;NA;NA;NA;14;8;80;0.0
05/12/12;2012-W49;Friuli-Venezia Giulia;0;4;NA;NA;0;NA;NA;NA;NA;NA;8;3;72;0.0
12/12/12;2012-W50;Friuli-Venezia Giulia;0;4;NA;NA;0;NA;NA;NA;NA;NA;3;-2;76;0.1
27/09/12;2012-W39;Sardegna;2;2;NA;NA;0;NA;NA;NA;NA;NA;28;19;69;0.0
04/10/12;2012-W40;Sardegna;0;2;NA;NA;0;NA;NA;NA;NA;NA;25;14;68;0.0
10/10/12;2012-W41;Sardegna;0;2;NA;NA;0;NA;NA;NA;NA;NA;24;18;83;0.0
17/10/12;2012-W42;Sardegna;0;2;NA;NA;0;NA;NA;NA;NA;NA;23;13;69;0.0
24/10/12;2012-W43;Sardegna;0;2;NA;NA;0;NA;NA;NA;NA;NA;22;15;78;1.2
31/10/12;2012-W44;Sardegna;0;2;NA;NA;0;NA;NA;NA;NA;NA;18;13;81;5.8
07/11/12;2012-W45;Sardegna;0;2;NA;NA;0;NA;NA;NA;NA;NA;17;10;75;0.0
14/11/12;2012-W46;Sardegna;0;2;NA;NA;0;NA;NA;NA;NA;NA;21;15;80;0.1
21/11/12;2012-W47;Sardegna;0;2;NA;NA;0;NA;NA;NA;NA;NA;18;10;81;0.0
05/12/12;2012-W49;Sardegna;0;2;NA;NA;0;NA;NA;NA;NA;NA;12;8;76;10.6
12/12/12;2012-W50;Sardegna;0;2;NA;NA;0;NA;NA;NA;NA;NA;12;4;68;0.0
27/09/12;2012-W39;Veneto;29;29;NA;NA;0;NA;NA;NA;NA;NA;25;17;72;9.1
04/10/12;2012-W40;Veneto;3;32;NA;NA;0;NA;NA;NA;NA;NA;22;15;81;6.3
10/10/12;2012-W41;Veneto;1;33;NA;NA;0;NA;NA;NA;NA;NA;19;13;89;7.7
17/10/12;2012-W42;Veneto;3;36;NA;NA;0;NA;NA;NA;NA;NA;18;11;76;0.0
24/10/12;2012-W43;Veneto;2;38;NA;NA;0;NA;NA;NA;NA;NA;20;11;65;0.0
31/10/12;2012-W44;Veneto;0;38;NA;NA;0;NA;NA;NA;NA;NA;11;5;81;28.0
07/11/12;2012-W45;Veneto;0;38;NA;NA;0;NA;NA;NA;NA;NA;15;5;62;0.0
14/11/12;2012-W46;Veneto;0;38;NA;NA;0;NA;NA;NA;NA;NA;16;10;76;0.0
21/11/12;2012-W47;Veneto;0;38;NA;NA;0;NA;NA;NA;NA;NA;15;7;75;0.0
05/12/12;2012-W49;Veneto;0;38;NA;NA;0;NA;NA;NA;NA;NA;8;1;68;0.2
12/12/12;2012-W50;Veneto;0;38;NA;NA;0;NA;NA;NA;NA;NA;5;-2;57;0.0
05/09/13;2013-W36;Emilia-Romagna;22;22;NA;NA;0;NA;NA;NA;NA;NA;31;18;67;0.0
12/09/13;2013-W37;Emilia-Romagna;1;23;NA;NA;0;NA;NA;NA;NA;NA;23;12;77;1.3
19/09/13;2013-W38;Emilia-Romagna;3;26;NA;NA;0;NA;NA;NA;NA;NA;25;14;69;0.0
26/09/13;2013-W39;Emilia-Romagna;4;30;NA;NA;0;NA;NA;NA;NA;NA;27;16;71;0.0
03/10/13;2013-W40;Emilia-Romagna;1;31;NA;NA;0;NA;NA;NA;NA;NA;18;11;75;0.0
10/10/13;2013-W41;Emilia-Romagna;1;32;NA;NA;0;NA;NA;NA;NA;NA;21;13;79;2.5
17/10/13;2013-W42;Emilia-Romagna;0;32;NA;NA;0;NA;NA;NA;NA;NA;20;11;72;0.0
24/10/13;2013-W43;Emilia-Romagna;0;32;NA;NA;0;NA;NA;NA;NA;NA;23;16;87;13.4
31/10/13;2013-W44;Emilia-Romagna;0;32;NA;NA;0;NA;NA;NA;NA;NA;17;11;76;0.0
07/11/13;2013-W45;Emilia-Romagna;0;32;NA;NA;0;NA;NA;NA;NA;NA;18;12;83;0.0
14/11/13;2013-W46;Emilia-Romagna;0;32;NA;NA;0;NA;NA;NA;NA;NA;14;9;85;0.1
21/11/13;2013-W47;Emilia-Romagna;0;32;NA;NA;0;NA;NA;NA;NA;NA;10;5;86;15.5
28/11/13;2013-W48;Emilia-Romagna;0;32;NA;NA;0;NA;NA;NA;NA;NA;6;-1;57;0.0
05/09/13;2013-W36;Lombardia;4;4;NA;NA;0;NA;NA;NA;NA;NA;23;13;89;14.2
12/09/13;2013-W37;Lombardia;0;4;NA;NA;0;NA;NA;NA;NA;NA;25;13;87;38.6
19/09/13;2013-W38;Lombardia;1;5;NA;NA;0;NA;NA;NA;NA;NA;22;15;92;40.7
26/09/13;2013-W39;Lombardia;3;8;NA;NA;0;NA;NA;NA;NA;NA;18;15;96;41.9
03/10/13;2013-W40;Lombardia;0;8;NA;NA;0;NA;NA;NA;NA;NA;23;11;87;30.2
10/10/13;2013-W41;Lombardia;2;10;NA;NA;0;NA;NA;NA;NA;NA;22;13;89;17.6
17/10/13;2013-W42;Lombardia;0;10;NA;NA;0;NA;NA;NA;NA;NA;24;11;86;15.2
24/10/13;2013-W43;Lombardia;0;10;NA;NA;0;NA;NA;NA;NA;NA;18;13;89;19.4
31/10/13;2013-W44;Lombardia;1;11;NA;NA;0;NA;NA;NA;NA;NA;22;14;87;5.8
07/11/13;2013-W45;Lombardia;0;11;NA;NA;0;NA;NA;NA;NA;NA;22;13;85;8.6
14/11/13;2013-W46;Lombardia;0;11;NA;NA;0;NA;NA;NA;NA;NA;21;7;75;1.9
21/11/13;2013-W47;Lombardia;0;11;NA;NA;0;NA;NA;NA;NA;NA;22;7;82;4.6
28/11/13;2013-W48;Lombardia;0;11;NA;NA;0;NA;NA;NA;NA;NA;22;9;77;0.1
03/10/13;2013-W40;Puglia;1;1;NA;NA;0;NA;NA;NA;NA;NA;22;12;53;0.0
10/10/13;2013-W41;Puglia;0;1;NA;NA;0;NA;NA;NA;NA;NA;22;15;80;9.1
17/10/13;2013-W42;Puglia;0;1;NA;NA;0;NA;NA;NA;NA;NA;24;12;57;1.9
24/10/13;2013-W43;Puglia;0;1;NA;NA;0;NA;NA;NA;NA;NA;24;13;77;0.0
31/10/13;2013-W44;Puglia;0;1;NA;NA;0;NA;NA;NA;NA;NA;24;14;75;0.0
07/11/13;2013-W45;Puglia;0;1;NA;NA;0;NA;NA;NA;NA;NA;22;12;69;5.6
14/11/13;2013-W46;Puglia;0;1;NA;NA;0;NA;NA;NA;NA;NA;20;12;75;0.0
21/11/13;2013-W47;Puglia;0;1;NA;NA;0;NA;NA;NA;NA;NA;13;10;77;0.0
28/11/13;2013-W48;Puglia;0;1;NA;NA;0;NA;NA;NA;NA;NA;9;2;83;0.3
05/09/13;2013-W36;Veneto;9;9;NA;NA;0;NA;NA;NA;NA;NA;28;16;76;0.0
12/09/13;2013-W37;Veneto;6;15;NA;NA;0;NA;NA;NA;NA;NA;23;11;69;0.0
19/09/13;2013-W38;Veneto;0;15;NA;NA;0;NA;NA;NA;NA;NA;24;13;70;3.7
26/09/13;2013-W39;Veneto;7;22;NA;NA;0;NA;NA;NA;NA;NA;24;15;82;7.7
